Date,Open,High,Low,Close,Adj Close,Volume
2021/10/20,223.050003,224.330002,219.820007,221.029999,220.736145,14627600
2021/10/21,220.970001,227.110001,220.830002,226.919998,226.618286,18759000
2021/10/22,228.229996,231.300003,225.610001,227.259995,226.957855,24938400
2021/10/25,229.729996,233.550003,227.699997,231.660004,231.352005,23023500
2021/10/26,239.889999,252.589996,239.240005,247.169998,246.841385,48589800
2021/10/27,244.740005,250.899994,242.820007,244.509995,244.184937,24599000
2021/10/28,248.779999,249.5,245.229996,249.410004,249.078415,23420400
2021/10/29,250.009995,257.089996,250,255.669998,255.330093,29250300
2021/11/1,256.48999,258.940002,252.270004,258.269989,257.926605,26574000
2021/11/2,258.220001,266.779999,258,264.01001,263.658997,29411200
2021/11/3,266.700012,267.839996,262.350006,265.980011,265.626404,23991000
2021/11/4,272.290009,313.649994,271.179993,298.01001,297.6138,115363100
2021/11/5,301.869995,314,294.100006,297.519989,297.124451,85126000
2021/11/8,301.48999,311,299.070007,308.040009,307.630432,50310100
2021/11/9,322.820007,323.100006,299.640015,306.570007,306.162415,64674600
2021/11/10,293.559998,308.5,287.779999,294.589996,294.198273,63620600
2021/11/11,304.679993,305.899994,297.769989,303.899994,303.495972,33217200
2021/11/12,300.100006,306.799988,296.299988,303.899994,303.495972,41305400
2021/11/15,305.519989,306.440002,292.470001,300.25,299.85083,38490900
2021/11/16,297.589996,303.899994,297.059998,302.029999,301.628448,26448400
2021/11/17,304.179993,305.089996,288,292.609985,292.220978,42850800
2021/11/18,323.670013,327.600006,313.209991,316.75,316.328827,78171100
2021/11/19,322.429993,330.880005,319.049988,329.850006,329.411499,53386700
2021/11/22,335.170013,346.470001,319,319.559998,319.135132,75433500
2021/11/23,315.350006,323.600006,308.799988,317.459991,317.037933,53216300
2021/11/24,314.609985,328.549988,309.279999,326.73999,326.305603,43516200
2021/11/26,326,327.100006,313.5,315.029999,314.611145,28306900
2021/11/29,323.660004,334.119995,320.359985,333.76001,333.316284,45496400
2021/11/30,331.690002,333.529999,318.640015,326.76001,326.325562,62206600
2021/12/1,332.190002,332.890015,313.799988,314.350006,313.970459,48436800
2021/12/2,312.140015,324.779999,310.25,321.26001,320.872223,47289000
2021/12/3,320,321.290009,301.299988,306.929993,306.559479,54432500
2021/12/6,298.799988,302.410004,280.380005,300.369995,300.007385,65893800
2021/12/7,309.570007,324.48999,306.51001,324.269989,323.87851,59305300
2021/12/8,319.98999,322.899994,314.209991,318.26001,317.875793,47555100
2021/12/9,317.339996,322.049988,304.279999,304.899994,304.531921,48850700
2021/12/10,311.5,313.049988,298.609985,301.980011,301.615417,48882500
2021/12/13,302.48999,302.940002,281.160004,281.609985,281.269989,59834400
2021/12/14,276.98999,286.779999,272.5,283.369995,283.027893,66703500
2021/12/15,284,305,278.380005,304.589996,304.22229,69829700
2021/12/16,311.519989,311.600006,280.929993,283.869995,283.527283,70736600
2021/12/17,279.850006,289.220001,277.600006,278.01001,277.674347,71375800
2021/12/20,273.049988,281.440002,271.450012,277.190002,276.855377,46184700
2021/12/21,283.73999,291.200012,274.01001,290.75,290.398987,52438500
